model_id_1,model_id_2,left,rope,right
svmLinear2_1_all,svmLinear2_0.01_clickstream,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_0.01_all,0.99996,0.0,4e-05
svmLinear2_1_all,svmLinear2_0.001_quiz,1.0,0.0,0.0
svmLinear2_1_all,svmLinear2_0.001_forum,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_0.001_clickstream,0.0,1.0,0.0
svmLinear2_1_all,svmLinear2_0.001_all,1.0,0.0,0.0
svmLinear2_1_all,rpart_1_quiz,1.0,0.0,0.0
svmLinear2_1_all,rpart_1_forum,0.0,1.0,0.0
svmLinear2_1_all,rpart_1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,rpart_1_all,1.0,0.0,0.0
svmLinear2_1_all,rpart_0.1_quiz,1.0,0.0,0.0
svmLinear2_1_all,rpart_0.1_forum,0.0,1.0,0.0
svmLinear2_1_all,rpart_0.1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,rpart_0.1_all,0.96534,0.0,0.03466
svmLinear2_1_all,rpart_0.01_quiz,1.0,0.0,0.0
svmLinear2_1_all,rpart_0.01_forum,0.0,1.0,0.0
svmLinear2_1_all,rpart_0.01_clickstream,0.0,1.0,0.0
svmLinear2_1_all,rpart_0.01_all,0.0,0.0,1.0
svmLinear2_1_all,rpart_0.001_quiz,1.0,0.0,0.0
svmLinear2_1_all,rpart_0.001_forum,0.0,1.0,0.0
svmLinear2_1_all,rpart_0.001_clickstream,0.0,1.0,0.0
svmLinear2_1_all,rpart_0.001_all,0.0,0.0,1.0
svmLinear2_1_all,nb_1_TRUE_1_quiz,1.0,0.0,0.0
svmLinear2_1_all,nb_1_TRUE_1_forum,0.0,1.0,0.0
svmLinear2_1_all,nb_1_TRUE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,nb_1_TRUE_1_all,0.0,0.0,1.0
svmLinear2_1_all,nb_1_FALSE_1_quiz,1.0,0.0,0.0
svmLinear2_1_all,nb_1_FALSE_1_forum,0.0,1.0,0.0
svmLinear2_1_all,nb_1_FALSE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,nb_1_FALSE_1_all,1.0,0.0,0.0
svmLinear2_1_all,nb_0_TRUE_1_quiz,1.0,0.0,0.0
svmLinear2_1_all,nb_0_TRUE_1_forum,0.0,1.0,0.0
svmLinear2_1_all,nb_0_TRUE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,nb_0_TRUE_1_all,0.0,0.0,1.0
svmLinear2_1_all,nb_0_FALSE_1_quiz,1.0,0.0,0.0
svmLinear2_1_all,nb_0_FALSE_1_forum,0.0,1.0,0.0
svmLinear2_1_all,nb_0_FALSE_1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,nb_0_FALSE_1_all,1.0,0.0,0.0
svmLinear2_1_all,glmnet_0_1_quiz,1.0,0.0,0.0
svmLinear2_1_all,glmnet_0_1_forum,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_1_all,0.0,0.0,1.0
svmLinear2_1_all,glmnet_0_0_quiz,1.0,0.0,0.0
svmLinear2_1_all,glmnet_0_0_forum,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0_clickstream,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0_all,0.0,0.0,1.0
svmLinear2_1_all,glmnet_0_0.1_quiz,1.0,0.0,0.0
svmLinear2_1_all,glmnet_0_0.1_forum,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0.1_clickstream,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0.1_all,0.0,0.0,1.0
svmLinear2_1_all,glmnet_0_0.01_quiz,1.0,0.0,0.0
svmLinear2_1_all,glmnet_0_0.01_forum,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0.01_clickstream,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0.01_all,0.0,0.0,1.0
svmLinear2_1_all,glmnet_0_0.001_quiz,1.0,0.0,0.0
svmLinear2_1_all,glmnet_0_0.001_forum,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0.001_clickstream,0.0,1.0,0.0
svmLinear2_1_all,glmnet_0_0.001_all,0.0,0.0,1.0
svmLinear2_1_all,adaboost_50_Real adaboost_quiz,1.0,0.0,0.0
svmLinear2_1_all,adaboost_50_Real adaboost_forum,0.0,1.0,0.0
svmLinear2_1_all,adaboost_50_Real adaboost_clickstream,0.0,1.0,0.0
